  idx                Rx                    Ry
000000          0.0000000000         -0.9996461666
000050          0.0001449015         -0.9996444863
000100          0.0005599738         -0.9996396280
000150          0.0012520492         -0.9996313787
000200          0.0022323580         -0.9996193714
000250          0.0035170478         -0.9996030529
000300          0.0051277179         -0.9995816373
000350          0.0070921673         -0.9995540345
000400          0.0094454122         -0.9995187458
000450          0.0122310559         -0.9994737084
000500          0.0155031283         -0.9994160635
000550          0.0193285663         -0.9993418041
000600          0.0237905867         -0.9992452301
000650          0.0289933216         -0.9991180880
000700          0.0350682812         -0.9989481768
000750          0.0421835100         -0.9987170256
000800          0.0505568083         -0.9983958992
000850          0.0604752424         -0.9979386802
000900          0.0723246642         -0.9972686581
000950          0.0866356784         -0.9962528446
001000          0.1041576392         -0.9946493078
001050          0.1259824307         -0.9919922992
001100          0.1537609009         -0.9873231118
001150          0.1901009067         -0.9785052430
001200          0.2393407570         -0.9603144615
001250          0.3091300319         -0.9186261274
001300          0.4136805201         -0.8124715402
001350          0.5784711331         -0.5432588225
001400          0.6065525962         -0.4912554252
001450          0.6685233528         -0.3826290718
001500          0.7483759738         -0.2825875813
001550          0.7869167411         -0.2635189645
001600          0.7958897558         -0.2625729231
001650          0.7973153813         -0.2625513463
001700          0.7974919383         -0.2625511813
001750          0.7975640801         -0.2625512102
001800          0.7976144198         -0.2625512233
001850          0.7976474241         -0.2625512284
001900          0.7976676085         -0.2625512302
001950          0.7976791463         -0.2625512307
002000          0.7976853206         -0.2625512308
002050          0.7976884175         -0.2625512309
002100          0.7976898750         -0.2625512309
002150          0.7976905190         -0.2625512309
002200          0.7976907856         -0.2625512309
002250          0.7976908877         -0.2625512309
002300          0.7976909242         -0.2625512309
002350          0.7976909242         -0.2625512309
002371          0.7976909242         -0.2625512309
