  idx                 Rx                   Ry
000000          0.0000000000         -0.9987426806
000050          0.0004251390         -0.9987282006
000100          0.0016485742         -0.9986857794
000150          0.0037071316         -0.9986118408
000200          0.0066635208         -0.9984998740
000250          0.0106113163         -0.9983393023
000300          0.0156821135         -0.9981135120
000350          0.0220564306         -0.9977964187
000400          0.0299801899         -0.9973463805
000450          0.0397898692         -0.9966950615
000500          0.0519516438         -0.9957261931
000550          0.0671239988         -0.9942330032
000600          0.0862613657         -0.9918277565
000650          0.1107928050         -0.9877360107
000700          0.1429450397         -0.9802903522
000750          0.1863582041         -0.9655690011
000800          0.2473229900         -0.9333871096
000850          0.3373355189         -0.8548698374
000900          0.4777967974         -0.6515539516
000950          0.5748143052         -0.4719166451
001000          0.6212977314         -0.3848417444
001050          0.7147882043         -0.2278588432
001100          0.8516331117         -0.0780437951
001150          0.9263637343         -0.0540576467
001200          0.9553848045         -0.0577529877
001250          0.9807802158         -0.0606003687
001300          1.0026944479         -0.0625994544
001350          1.0209747174         -0.0639012854
001400          1.0357271079         -0.0646923236
001450          1.0472526272         -0.0651426773
001500          1.0559743068         -0.0653836058
001550          1.0623701367         -0.0655049771
001600          1.0669175604         -0.0655626403
001650          1.0700538121         -0.0655885049
001700          1.0721528566         -0.0655994668
001750          1.0735167034         -0.0656038590
001800          1.0743772808         -0.0656055235
001850          1.0749047816         -0.0656061203
001900          1.0752189601         -0.0656063229
001950          1.0754008245         -0.0656063879
002000          1.0755031591         -0.0656064077
002050          1.0755591447         -0.0656064134
002100          1.0755889282         -0.0656064150
002150          1.0756043375         -0.0656064154
002200          1.0756120919         -0.0656064155
002250          1.0756158878         -0.0656064155
002300          1.0756176956         -0.0656064155
002350          1.0756185331         -0.0656064155
002400          1.0756189107         -0.0656064155
002450          1.0756190766         -0.0656064155
002500          1.0756191465         -0.0656064155
002550          1.0756191723         -0.0656064155
002586          1.0756191723         -0.0656064155
