  idx                Rx                    Ry
000000          0.0000000000         -0.9977286767
000050          0.0005819171         -0.9977015302
000100          0.0022568047         -0.9976217708
000150          0.0050762776         -0.9974819322
000200          0.0091295478         -0.9972681813
000250          0.0145526453         -0.9969574604
000300          0.0215423767         -0.9965122697
000350          0.0303783421         -0.9958710444
000400          0.0414577710         -0.9949298546
000450          0.0553518309         -0.9935059397
000500          0.0728997870         -0.9912605948
000550          0.0953736426         -0.9875239023
000600          0.1247825047         -0.9808600930
000650          0.1644750868         -0.9678698329
000700          0.2204357593         -0.9394458202
000750          0.3043546139         -0.8673248366
000800          0.4415415720         -0.6521459448
000850          0.5874777805         -0.3014479582
000900          0.6387554145         -0.2757460609
000950          0.7487122376         -0.1883009127
001000          0.8870546885         -0.1501469468
001050          0.9719939980         -0.1854434915
001100          1.0207167839         -0.2038210456
001150          1.0513138662         -0.2104738088
001200          1.0697496503         -0.2125798209
001250          1.0800627902         -0.2131615801
001300          1.0853713585         -0.2132999791
001350          1.0878751780         -0.2133280291
001400          1.0889547905         -0.2133328365
001450          1.0893799252         -0.2133335302
001500          1.0895327883         -0.2133336144
001550          1.0895829906         -0.2133336229
001600          1.0895980567         -0.2133336236
001650          1.0896021907         -0.2133336237
001700          1.0896032281         -0.2133336237
001750          1.0896034656         -0.2133336237
001800          1.0896035127         -0.2133336237
001841          1.0896035127         -0.2133336237
