  idx               Rx                     Ry
000000          0.0000000000         -0.9994572182
000050          0.0001615011         -0.9994551306
000100          0.0006236947         -0.9994491049
000150          0.0013929566         -0.9994389054
000200          0.0024797611         -0.9994241265
000250          0.0038992690         -0.9994041573
000300          0.0056719354         -0.9993781296
000350          0.0078243585         -0.9993448385
000400          0.0103904314         -0.9993026266
000450          0.0134128883         -0.9992492092
000500          0.0169453714         -0.9991814147
000550          0.0210552103         -0.9990947856
000600          0.0258271864         -0.9989829612
000650          0.0313686963         -0.9988366934
000700          0.0378169405         -0.9986422435
000750          0.0453491108         -0.9983786886
000800          0.0541971283         -0.9980132505
000850          0.0646694702         -0.9974928862
000900          0.0771843751         -0.9967285028
000950          0.0923219221         -0.9955638659
001000          0.1109086305         -0.9937108698
001050          0.1341605337         -0.9906058449
001100          0.1639365893         -0.9850659145
001150          0.2032115440         -0.9743939393
001200          0.2570084781         -0.9518205697
001250          0.3343227626         -0.8985918769
001300          0.4519941586         -0.7605153009
001350          0.6080822056         -0.4877546742
001400          0.6363431308         -0.4345850647
001450          0.7096100575         -0.3059683291
001500          0.8115467900         -0.1905644371
001550          0.8771473148         -0.1858631156
001600          0.9192252199         -0.1985175331
001650          0.9528864603         -0.2068270908
001700          0.9780273478         -0.2109871102
001750          0.9947895736         -0.2126410626
001800          1.0047348621         -0.2131656656
001850          1.0100110847         -0.2132999101
001900          1.0125301761         -0.2133279843
001950          1.0136186453         -0.2133328338
002000          1.0140460038         -0.2133335308
002050          1.0141988701         -0.2133336145
002100          1.0142487693         -0.2133336229
002150          1.0142636493         -0.2133336237
002200          1.0142677060         -0.2133336237
002250          1.0142687175         -0.2133336237
002300          1.0142689479         -0.2133336237
002350          1.0142689973         -0.2133336237
002389          1.0142689973         -0.2133336237
